CO_LEG,District,Step
King043,7,225
King045,6,225
King046,7,225
King047,1,225
King048,6,225
Kitsap023,0,225
Kitsap026,0,225
Kitsap035,0,225
Kittitas013,1,225
Klickitat015,9,225
Lewis020,3,225
Lincoln007,4,225
Mason035,0,225
Okanogan007,6,225
Okanogan012,6,225
Pacific019,3,225
Pend Oreille007,4,225
Pierce002,1,225
Pierce025,8,225
Pierce026,0,225
Pierce027,8,225
Pierce028,1,225
Pierce029,1,225
Pierce031,1,225
San Juan040,6,225
Skagit010,6,225
Skagit021,0,225
Skagit039,6,225
Skagit040,6,225
Skamania015,3,225
Snohomish001,7,225
Snohomish010,6,225
Snohomish021,0,225
Snohomish032,7,225
Snohomish038,0,225
Snohomish039,6,225
Snohomish044,7,225
Snohomish048,6,225
Spokane003,4,225
Spokane004,4,225
Spokane006,4,225
Spokane007,4,225
Spokane009,4,225
Stevens007,4,225
Thurston002,3,225
Thurston020,3,225
Thurston022,3,225
Thurston035,3,225
Wahkiakum019,3,225
Walla Walla016,5,225
Whatcom039,0,225
Whatcom040,6,225
Whatcom042,6,225
Whitman009,4,225
Yakima013,9,225
Yakima014,3,225
Yakima015,9,225
CO_LEG,District,Step
Adams009,4,250
Asotin009,4,250
Benton008,9,250
Benton016,9,250
Chelan012,6,250
Clallam024,2,250
Clark015,3,250
Clark017,3,250
Clark018,3,250
Clark049,3,250
Columbia016,4,250
Cowlitz018,3,250
Cowlitz019,3,250
Douglas012,1,250
Ferry007,4,250
Franklin009,4,250
Franklin016,5,250
Garfield009,4,250
Grant012,6,250
Grant013,1,250
Grays Harbor019,3,250
Grays Harbor024,2,250
Grays Harbor035,3,250
Island010,6,250
Jefferson024,2,250
King001,6,250
King005,1,250
King011,1,250
King030,1,250
King031,3,250
King032,7,250
King033,1,250
King034,0,250
King036,7,250
King037,0,250
King039,6,250
King041,6,250
King043,7,250
King045,6,250
King046,7,250
King047,1,250
King048,6,250
Kitsap023,0,250
Kitsap026,0,250
Kitsap035,0,250
Kittitas013,1,250
Klickitat015,9,250
Lewis020,3,250
Lincoln007,4,250
Mason035,0,250
Okanogan007,6,250
Okanogan012,6,250
Pacific019,3,250
Pend Oreille007,4,250
Pierce002,1,250
Pierce025,8,250
Pierce026,0,250
Pierce027,8,250
Pierce028,1,250
Pierce029,1,250
Pierce031,1,250
San Juan040,6,250
Skagit010,6,250
Skagit021,0,250
Skagit039,0,250
Skagit040,6,250
Skamania015,3,250
Snohomish001,7,250
Snohomish010,6,250
Snohomish021,7,250
Snohomish032,7,250
Snohomish038,7,250
Snohomish039,6,250
Snohomish044,7,250
Snohomish048,6,250
Spokane003,4,250
Spokane004,4,250
Spokane006,4,250
Spokane007,4,250
Spokane009,4,250
Stevens007,4,250
Thurston002,3,250
Thurston020,3,250
Thurston022,3,250
Thurston035,3,250
Wahkiakum019,3,250
Walla Walla016,5,250
Whatcom039,0,250
Whatcom040,6,250
Whatcom042,0,250
Whitman009,4,250
Yakima013,9,250
Yakima014,3,250
Yakima015,9,250
CO_LEG,District,Step
Adams009,4,275
Asotin009,4,275
Benton008,9,275
Benton016,9,275
Chelan012,6,275
Clallam024,2,275
Clark015,3,275
Clark017,3,275
Clark018,3,275
Clark049,3,275
Columbia016,4,275
Cowlitz018,3,275
Cowlitz019,3,275
Douglas012,6,275
Ferry007,6,275
Franklin009,4,275
Franklin016,5,275
Garfield009,4,275
Grant012,6,275
Grant013,4,275
Grays Harbor019,3,275
Grays Harbor024,2,275
Grays Harbor035,2,275
Island010,6,275
Jefferson024,2,275
King001,6,275
King005,1,275
King011,0,275
King030,1,275
King031,1,275
King032,7,275
King033,0,275
King034,0,275
King036,7,275
King037,0,275
King039,6,275
King041,6,275
King043,7,275
King045,6,275
King046,7,275
King047,1,275
King048,6,275
Kitsap023,0,275
Kitsap026,0,275
Kitsap035,0,275
Kittitas013,1,275
Klickitat015,9,275
Lewis020,3,275
Lincoln007,4,275
Mason035,0,275
Okanogan007,6,275
Okanogan012,6,275
Pacific019,3,275
Pend Oreille007,4,275
Pierce002,3,275
Pierce025,8,275
Pierce026,0,275
Pierce027,1,275
Pierce028,1,275
Pierce029,8,275
Pierce031,1,275
San Juan040,6,275
Skagit010,6,275
Skagit021,0,275
Skagit039,0,275
Skagit040,6,275
Skamania015,9,275
Snohomish001,7,275
Snohomish010,6,275
Snohomish021,0,275
Snohomish032,7,275
Snohomish038,7,275
Snohomish039,6,275
Snohomish044,7,275
Snohomish048,6,275
Spokane003,4,275
Spokane004,4,275
Spokane006,4,275
Spokane007,4,275
Spokane009,4,275
Stevens007,4,275
Thurston002,3,275
Thurston020,3,275
Thurston022,3,275
Thurston035,3,275
Wahkiakum019,3,275
Walla Walla016,5,275
Whatcom039,0,275
Whatcom040,0,275
Whatcom042,0,275
Whitman009,4,275
Yakima013,9,275
Yakima014,1,275
Yakima015,9,275
CO_LEG,District,Step
Adams009,4,300
Asotin009,4,300
Benton008,9,300
Benton016,9,300
Chelan012,6,300
Clallam024,2,300
Clark015,9,300
Clark017,3,300
Clark018,3,300
Clark049,3,300
Columbia016,4,300
Cowlitz018,3,300
Cowlitz019,3,300
Douglas012,6,300
Ferry007,4,300
Franklin009,4,300
Franklin016,5,300
Garfield009,4,300
Grant012,6,300
Grant013,6,300
Grays Harbor019,3,300
Grays Harbor024,3,300
Grays Harbor035,3,300
Island010,6,300
Jefferson024,2,300
King001,6,300
King005,6,300
King011,1,300
King030,1,300
King031,1,300
King032,7,300
King033,1,300
King034,0,300
King036,7,300
King037,0,300
King039,1,300
King041,0,300
King043,0,300
King045,6,300
King046,7,300
King047,1,300
King048,6,300
Kitsap023,0,300
Kitsap026,0,300
Kitsap035,0,300
Kittitas013,1,300
Klickitat015,9,300
Lewis020,9,300
Lincoln007,4,300
Mason035,0,300
Okanogan007,4,300
Okanogan012,4,300
Pacific019,3,300
Pend Oreille007,4,300
Pierce002,3,300
